X, Y
-9.999999717601771419944283,-0.314679795921253588342917
-9.999999435203542839888567,-0.3146797621984175903314865
-9.999958221977530217267693,-0.3146748380118861571270109
-9.99991700875151759464682,-0.3146699084805305552116336
-9.999875795525504972025946,-0.3146649736044565412952371
-9.999875399928458747420576,-0.3146649262094804831219232
-9.999875004331412522815205,-0.3146648788140119899361978
-9.999874608734366298209835,-0.3146648314180510618317143
-9.999874213137320073604464,-0.3146647840215976989021265
-9.999873817540273848999094,-0.3146647366246519012410891
-9.999873026346181399788353,-0.3146646418297754366434267
-9.999872235152088950577612,-0.3146645470329292338692134
-9.999871443957996501366871,-0.3146644522341132936677043
-9.999863532017072009259463,-0.3146635041376184942536362
-9.999855620076147517152055,-0.3146625558441507795049128
-9.999847708135223025044647,-0.3146616073537108957565601
-9.999839796194298532937239,-0.3146606586662995925886808
-9.999760676785053611863157,-0.3146511609589234899419241
-9.999681557375808690789075,-0.3146416435552308875834056
-9.999602437966563769714993,-0.3146321064559733912944409
-9.999523318557318848640911,-0.3146225496619038211202921
-9.999444199148073927566829,-0.3146129731737762228515852
-9.998653005055624716826009,-0.3145161252860733029931558
-9.997861810963175506085188,-0.3144173088310985138462215
-9.997070616870726295344368,-0.3143165245830710865499227
-9.996279422778277084603548,-0.3142137733284269509668505
-9.995488228685827873862728,-0.3141090558658108431443599
-9.994697034593378663121908,-0.3140023730060683823443229
-9.987098975983738591396132,-0.3128779703018026448387135
-9.979500917374098519670356,-0.3115731832021035764853285
-9.971902858764458447944581,-0.3100889006011968753577805
-9.964304800154818376218805,-0.3084261135761602852542285
-9.956706741545178304493029,-0.3065859145811218066913153
-9.949108682935538232767253,-0.3045694965841583805281215
-9.941510624325898161041477,-0.3023781521487573711245571
-9.930408938897330205874414,-0.2988647238038710368005899
-9.919307253468762250707352,-0.2949855521997314239345444
-9.908205568040194295540289,-0.2907457880098699005360908
-9.897103882611626340373226,-0.2861510115925884763669962
-9.886002197183058385206163,-0.2812072247049536922573512
-9.8749005117544904300391,-0.2759208417341173120548815
-9.863798826325922474872037,-0.2702986804592078853369474
-9.852697140897354519704974,-0.2643479523579618045956817
-9.832084375625497945698607,-0.2524538768839350735314702
-9.815974832791171865143001,-0.2424215360218968512253245
-9.799865289956845784587394,-0.2317717705446498173586595
-9.783755747122519704031788,-0.2205326722137498560007085
-9.767646204288193623476182,-0.2087337398350522630482013
-9.751536661453867542920575,-0.1964057971091734389696075
-9.735427118619541462364969,-0.1835809076262525912760133
-9.719317575785215381809362,-0.1702922872417876048900409
-9.703208032950889301253756,-0.1565742140837645442746428
-9.68709849011656322069815,-0.1424619364399078780895285
-9.663062370819174755937679,-0.1207513344324263659193042
-9.639026251521786291177208,-0.0983668777121543520612581
-9.614990132224397826416737,-0.07543483691709389364098696
-9.590954012927009361656266,-0.05208390225260321772779426
-9.566917893629620896895795,-0.02844444795583083418674403
-9.542881774332232432135324,-0.0046477945965113272861742
-9.518845655034843967374854,0.01917452660402168480948212
-9.494809535737455502614383,0.04289150332577060165697706
-9.470773416440067037853912,0.06637336156028499641540011
-9.446737297142678573093441,0.08949227097948001613111634
-9.42270117784529010833297,0.1121230325009686556497335
-9.398665058547901643572499,0.1341437444433469474356074
-9.374628939250513178812028,0.1554364438383317786291987
-9.350592819953124714051557,0.175887719656571413938149
-9.326556700655736249291087,0.1953892949089963629992972
-9.302520581358347784530616,0.2138385748042487443405849
-9.278484462060959319770145,0.231139158373528518018002
-9.254448342763570855009674,0.2472013112155682130252147
-9.230412223466182390249203,0.2619423972648185165354327
-9.206376104168793925488732,0.275287267743700648679931
-9.182339984871405460728261,0.2871686057233533473326085
-9.15830386557401699596779,0.2975272249850722136788146
-9.13426774627662853120732,0.3063123221450146894189532
-9.114256965263907878480223,0.3123951971784198339754451
-9.094246184251187225753127,0.3173382980666730010540364
-9.07423540323846657302603,0.3211261295218183344063139
-9.054224622225745920298934,0.3237474719368209609894953
