Iteration, Radius, Step
0, 10.0000000000, -0.0010000000
1, 9.9990538704, -0.0099999999
2, 9.9895931153, -0.0999999970
3, 9.8950401288, -0.4640838383
4, 9.4576025746, -0.7536826611
5, 8.7526148617, -1.0261290449
6, 7.8062087111, -1.1878942726
7, 6.7369622322, -1.2642108756
8, 5.6450957695, -1.3017194179
9, 4.5997211227, -0.9438944478
10, 3.9204759414, -0.7423353284
11, 3.4546196080, -0.6274189389
12, 3.1229205148, -0.6058356231
13, 2.8687781763, -0.5442051581
14, 2.7042883013, -0.5082696224
15, 2.6102333386, -0.4726792516
16, 2.5767825859, -0.4230879862
17, 2.5916594154, -0.3839869998
18, 2.6415896519, -0.3730658311
19, 2.7225533687, -0.3359272555
20, 2.8218178983, -0.3240335596
21, 2.9400437301, -0.3736760909
22, 3.1019657579, -0.4129055238
23, 3.3099625571, -0.4723891922
24, 3.5810020779, -0.5448971962
25, 3.9309730150, -0.6452328647
26, 4.3875060373, -0.7846344777
27, 4.9902852931, -0.9813713717
28, 5.7978184881, -1.2448504400
29, 6.8806597547, -1.5925302367
30, 8.3267150338, -2.0988512948
31, 10.2944772032, -2.8600848668
32, 13.0386409898, -3.7001701471
